,turns,winner,increment_code,white_rating,black_rating,opening_name
200,74,black,10+0,1250,1156,Hungarian Opening
201,40,black,15+15,1089,1165,Giuoco Piano
202,50,black,15+15,1030,1162,Queen's Pawn
203,61,white,15+15,1184,1184,Scotch Game
204,12,black,15+15,1034,1149,Queen's Pawn
205,86,draw,15+15,1156,886,Italian Game
206,27,white,15+15,1142,1226,French Defense
207,86,black,15+15,1042,1133,King's Pawn Game
208,53,white,15+15,1247,1122,King's Pawn Game
209,50,black,15+15,1070,1112,Van't Kruijs Opening
210,45,white,15+15,914,1133,Three Knights Opening
211,60,black,15+15,1133,1234,Giuoco Piano
212,56,black,15+15,1126,1054,Philidor Defense
213,115,white,10+0,2100,1960,Indian Game
214,56,draw,10+0,1982,1960,Scandinavian Defense
215,62,black,5+5,1627,2050,French Defense
216,35,white,11+5,1164,1435,Scandinavian Defense: Mieses-Kotroc Variation
217,70,black,10+0,1287,1099,Sicilian Defense
218,75,white,10+0,1211,1230,Sicilian Defense
219,61,white,10+0,1344,1500,Sicilian Defense
220,36,black,10+0,1378,1318,French Defense
221,53,white,15+15,1721,1643,Queen's Gambit Declined
222,64,black,10+2,1170,1662,Scandinavian Defense
223,88,black,5+5,1302,875,King's Pawn Game
224,38,black,10+0,1983,2313,Horwitz Defense
225,41,white,10+0,2312,1663,Ruy Lopez: Steinitz Defense
226,78,black,10+0,1380,2239,Queen's Gambit Declined
227,31,white,10+5,2104,1344,Philidor Defense
228,66,black,10+5,1918,2086,Sicilian Defense
229,44,black,10+5,1701,2100,Sicilian Defense
230,27,white,10+5,2091,1704,Scandinavian Defense: Mieses-Kotroc Variation
231,21,white,180+0,1408,1396,Queen's Gambit Declined
232,91,white,10+0,1398,1383,Queen's Gambit Declined
233,50,black,10+0,1394,1512,Queen's Gambit Refused: Marshall Defense
234,56,black,10+0,1479,1381,Sicilian Defense
235,37,white,10+0,1371,1374,Queen's Gambit Declined
236,66,black,10+0,1372,1360,Sicilian Defense
237,65,black,30+0,1528,1369,Queen's Pawn
238,43,white,15+15,1392,1500,Sicilian Defense
239,49,white,15+0,1905,1852,Owen Defense
240,77,white,10+0,1478,1500,Sicilian Defense
241,33,white,10+0,1478,1362,Pirc Defense #4
242,83,white,15+0,1478,1490,Scotch Game
243,102,black,8+5,1453,1466,Ruy Lopez: Steinitz Defense
244,29,white,5+5,1466,1592,Scotch Game
245,91,white,5+8,1466,1582,Philidor Defense
246,59,black,10+0,1479,1454,Scotch Game
247,41,white,6+5,1566,1493,Ruy Lopez: Steinitz Defense
248,122,black,10+0,1417,1447,Queen's Pawn
249,62,black,10+3,1325,1174,Queen's Pawn
250,65,white,5+8,1322,913,Queen's Pawn
251,23,white,15+0,1224,1332,Sicilian Defense
252,58,black,10+9,1131,1347,Queen's Pawn
253,64,black,10+0,1197,1340,Owen Defense
254,43,white,10+0,1348,1381,Queen's Pawn
255,29,white,5+5,1352,1408,Queen's Pawn
256,48,black,10+3,2035,1352,Sicilian Defense
257,76,black,5+8,1602,1791,Sicilian Defense
258,68,black,5+8,1415,1788,Sicilian Defense
259,30,black,8+0,1815,1889,Owen Defense
260,59,white,8+0,1800,1831,Scandinavian Defense: Mieses-Kotroc Variation
261,76,black,8+0,1830,1809,Scandinavian Defense: Mieses-Kotroc Variation
262,33,draw,5+5,2465,2384,Queen's Pawn
263,36,black,8+0,2255,2425,Queen's Pawn
264,28,black,5+5,2083,2415,Queen's Pawn
265,21,black,5+5,2281,2400,Queen's Pawn
266,68,black,10+0,1437,1476,Ruy Lopez: Steinitz Defense
267,59,white,10+0,1672,1701,Sicilian Defense
268,31,black,10+0,1706,1698,Sicilian Defense
269,72,black,10+1,1648,1719,Sicilian Defense
270,66,black,15+15,1648,1710,Queen's Pawn
271,23,white,10+0,1833,1740,Italian Game
272,118,black,10+0,1433,1737,Queen's Pawn
273,91,white,15+15,1713,1659,Italian Game
274,56,black,10+0,1605,1698,Van't Kruijs Opening
275,71,white,10+0,1690,1613,French Defense
276,48,black,10+0,1622,1681,Van't Kruijs Opening
277,84,black,10+0,1707,1699,French Defense
278,51,white,10+0,1453,1724,Italian Game
279,77,black,5+8,1854,1730,Scotch Game
280,54,black,10+0,1705,1719,Ruy Lopez: Steinitz Defense
281,89,white,10+0,1694,1825,Philidor Defense
282,62,black,10+0,1651,1684,King's Pawn Game
283,49,white,10+0,1706,1695,Sicilian Defense
284,67,white,10+0,1683,1717,Philidor Defense
285,73,white,10+0,1707,1693,Queen's Pawn
286,43,white,10+0,1758,1702,Queen's Pawn
287,16,black,10+0,1730,1882,Sicilian Defense
288,52,black,10+0,1680,1789,Owen Defense
289,78,black,10+0,1711,1760,Owen Defense
290,103,white,10+0,1710,1618,Van't Kruijs Opening
291,49,black,15+3,1858,1730,French Defense
292,27,white,10+0,1864,1449,Scandinavian Defense: Mieses-Kotroc Variation
293,42,black,10+5,1704,1824,English Opening: King's English Variation
294,5,white,10+0,1894,1539,Van't Kruijs Opening
295,115,draw,5+60,1923,1887,Queen's Pawn
296,51,white,15+0,2215,2147,Sicilian Defense
297,33,black,10+0,1805,2195,French Defense
298,38,black,10+0,1500,2098,Queen's Pawn
299,27,white,10+0,1904,1544,Philidor Defense
300,62,black,10+0,1540,1540,Sicilian Defense
301,123,white,10+0,1534,1467,Scandinavian Defense: Mieses-Kotroc Variation
302,44,black,10+0,1545,1554,Caro-Kann Defense
303,20,white,15+15,1432,1559,Sicilian Defense
304,88,black,10+0,1369,1553,Sicilian Defense
305,96,black,10+0,1553,1542,Sicilian Defense
306,120,white,10+0,1543,1553,Sicilian Defense
307,32,white,10+0,813,841,King's Pawn Game
308,39,white,10+2,1478,859,Scandinavian Defense
309,27,white,5+10,1186,871,Scandinavian Defense
310,68,white,45+0,1271,883,Scandinavian Defense
311,40,black,20+3,901,1339,Sicilian Defense
312,27,white,45+0,1500,901,Scandinavian Defense
313,78,black,30+10,922,1120,King's Pawn Game
314,4,black,30+0,1026,1121,Queen's Pawn
315,44,black,8+0,1057,1240,Horwitz Defense
316,45,black,30+0,1057,1341,French Defense
317,15,white,30+0,1331,1083,Sicilian Defense
318,37,white,20+5,1266,1130,Owen Defense
319,22,black,12+0,1155,1484,Scandinavian Defense: Mieses-Kotroc Variation
320,58,black,20+0,1222,1351,Queen's Pawn
321,33,white,15+15,1214,1222,Scandinavian Defense
322,46,white,7+7,1535,1273,French Defense
323,36,black,10+10,1500,1409,Queen's Pawn
324,62,black,20+0,1647,1566,Queen's Gambit Declined
325,35,white,6+6,1500,1647,Three Knights Opening
326,60,black,30+0,1887,1760,Queen's Pawn
327,58,black,15+0,1297,1230,King's Pawn Game
328,38,black,10+0,1625,1754,Queen's Pawn
329,80,black,10+0,1474,1862,Philidor Defense
330,54,black,10+0,1862,1807,Philidor Defense
331,78,black,10+0,1396,1862,Four Knights Game: Italian Variation
332,51,white,10+0,1674,1862,Queen's Gambit Refused: Marshall Defense
333,12,white,10+0,1598,1862,Philidor Defense
334,56,black,10+0,1862,1500,Queen's Pawn
335,24,black,10+0,1862,1513,Queen's Gambit Declined
336,45,black,10+0,1862,1500,Scandinavian Defense: Mieses-Kotroc Variation
337,18,black,10+0,1862,1769,Scotch Game
338,90,black,10+0,1701,1862,Giuoco Piano
339,34,black,10+0,1862,1701,Philidor Defense
340,129,white,10+0,1937,2090,French Defense
341,25,white,10+0,1951,1664,French Defense
342,19,black,10+0,1236,1941,Caro-Kann Defense
343,83,white,180+0,1500,1500,French Defense
344,66,white,180+0,1500,1500,Scotch Game
345,89,white,180+0,1500,1500,French Defense
346,129,draw,180+180,1500,1500,Van't Kruijs Opening
347,27,white,180+180,1500,1500,Owen Defense
348,76,white,180+180,1500,1500,Owen Defense
349,63,white,10+0,1803,1737,French Defense
350,64,black,4+6,1670,1692,Three Knights Opening
351,15,white,5+8,1500,1329,Italian Game
352,107,white,20+0,1712,1714,Scotch Game
353,43,white,10+0,1500,1712,Queen's Pawn
354,72,black,6+10,1705,1712,Sicilian Defense
355,34,black,10+25,1712,1832,Caro-Kann Defense
356,51,black,3+10,1712,1615,Scandinavian Defense: Mieses-Kotroc Variation
357,16,black,10+1,1328,1712,Van't Kruijs Opening
358,27,white,10+0,1726,1589,French Defense
359,30,black,10+0,1577,1534,English Opening: King's English Variation
360,49,white,10+0,1603,1594,French Defense
361,86,black,10+0,1592,1783,English Opening: King's English Variation
362,96,black,10+0,1516,1593,French Defense
363,114,black,10+0,1475,1585,French Defense
364,40,black,10+0,1585,1632,English Opening: King's English Variation
365,68,black,10+0,1950,1997,Scandinavian Defense
366,63,white,10+0,1819,2020,Sicilian Defense
367,150,black,10+0,1651,1657,King's Pawn Game
368,33,white,20+0,1663,1758,Scandinavian Defense: Mieses-Kotroc Variation
369,161,white,5+5,1779,1794,English Opening: King's English Variation
370,52,black,10+0,1690,1913,French Defense
371,47,white,10+0,1873,1651,Scandinavian Defense: Mieses-Kotroc Variation
372,39,white,10+0,1860,1770,Caro-Kann Defense
373,50,black,10+0,1748,1852,French Defense
374,19,black,10+0,1365,1850,French Defense
375,52,black,10+0,1560,1892,Sicilian Defense
376,132,black,10+0,1901,1993,Philidor Defense
377,78,black,10+0,1750,1885,Queen's Pawn
378,45,white,10+0,1882,1602,Ruy Lopez: Steinitz Defense
379,66,black,20+5,1712,1875,Philidor Defense
380,121,white,10+0,1881,1828,French Defense
381,75,white,10+0,1868,1824,French Defense
382,89,white,10+0,1894,1506,Philidor Defense
383,36,black,15+20,1750,1741,Giuoco Piano
384,55,white,5+7,1686,1681,Italian Game
385,118,black,6+8,1713,1637,Queen's Pawn
386,55,white,10+15,1791,1716,Queen's Pawn
387,78,black,20+0,1804,1931,Sicilian Defense
388,68,black,15+5,1701,1500,Three Knights Opening
389,29,white,15+5,1148,1057,Queen's Pawn
390,59,white,10+0,1625,1384,Giuoco Piano
391,9,white,10+15,1805,1384,Philidor Defense
392,80,black,3+8,1500,1644,Van't Kruijs Opening
393,81,black,30+5,1687,1771,Queen's Pawn
394,103,white,30+5,1678,1595,Queen's Pawn
395,10,black,20+0,2313,2168,Owen Defense
396,32,black,20+0,1855,2313,Giuoco Piano
397,50,black,10+0,2344,2215,Giuoco Piano
398,57,white,10+0,1432,1916,Philidor Defense
399,21,white,20+8,1870,1479,Ruy Lopez: Steinitz Defense
400,48,black,10+10,1859,1479,Ruy Lopez: Steinitz Defense
401,68,black,6+9,1299,1513,Hungarian Opening
402,40,black,8+5,1501,1513,Italian Game
403,9,black,8+5,1513,1501,Queen's Gambit Refused: Marshall Defense
404,36,black,180+0,1126,1513,King's Pawn Game
405,132,black,8+5,1510,1461,Scandinavian Defense: Mieses-Kotroc Variation
406,48,black,20+0,1534,1581,Queen's Gambit Declined
407,75,black,20+0,1602,1502,Van't Kruijs Opening
408,59,white,15+0,1627,1496,Philidor Defense
409,77,white,5+5,1740,1500,Caro-Kann Defense
410,104,draw,14+8,1638,1417,Queen's Pawn
411,99,white,10+0,1885,1607,Owen Defense
412,62,black,6+4,1707,1734,Van't Kruijs Opening
413,57,white,10+0,1185,1222,Van't Kruijs Opening
414,100,black,10+0,1277,1173,French Defense
415,44,black,10+0,1136,1301,Queen's Pawn
416,87,white,10+0,1291,1262,Philidor Defense
417,75,white,10+0,1278,1173,French Defense
418,52,black,10+0,1175,1270,Queen's Pawn
419,40,black,10+0,1173,1262,King's Pawn Game
420,73,white,10+0,1329,1271,Scotch Game
421,52,black,10+0,1235,1272,Van't Kruijs Opening
422,104,black,10+0,1239,1269,King's Pawn Game
423,55,white,10+0,1152,1284,Queen's Gambit Declined
424,72,black,10+0,1268,1392,Ruy Lopez: Steinitz Defense
425,84,black,5+5,1342,1248,Queen's Pawn
426,19,black,10+0,1257,1380,Philidor Defense
427,137,white,10+0,1501,1199,Italian Game
428,53,white,10+0,1597,1501,Queen's Gambit Accepted: Old Variation
429,65,white,10+0,1501,1619,Ruy Lopez: Steinitz Defense
430,8,black,10+0,1567,1501,Giuoco Piano
431,55,white,10+0,1585,1501,Ruy Lopez: Steinitz Defense
432,73,white,10+0,1514,1501,Queen's Pawn
433,27,black,10+0,1501,1500,Philidor Defense
434,50,black,10+0,1501,1511,Philidor Defense
435,130,draw,10+0,1501,1760,French Defense
436,51,white,10+0,1694,1501,Queen's Pawn
437,24,black,10+0,1501,1503,Pirc Defense #4
438,94,black,10+0,1694,1501,Queen's Pawn
439,57,white,10+0,1500,1501,Hungarian Opening
440,47,white,10+0,1787,1501,Scotch Game
441,27,white,10+0,1501,1501,Bishop's Opening
442,50,black,10+0,1501,1626,Sicilian Defense
443,20,black,10+0,1501,1759,French Defense
444,85,white,10+0,1500,1501,Four Knights Game: Italian Variation
445,87,white,10+0,1501,1500,Philidor Defense
446,45,white,10+0,1501,1513,Three Knights Opening
447,38,black,10+0,1500,1501,Giuoco Piano
448,39,white,10+0,1585,1501,Queen's Gambit Accepted: Old Variation
449,90,black,10+0,1501,1500,Philidor Defense
450,37,white,15+15,1104,1343,English Opening: King's English Variation
451,6,white,15+15,1104,1228,English Opening: King's English Variation
452,94,black,15+15,1104,1419,Modern Defense
453,29,white,15+15,1104,1069,English Opening: King's English Variation
454,58,black,15+15,1104,1290,Queen's Pawn
455,44,black,15+15,1273,1104,Italian Game
456,35,white,15+5,1500,1104,Philidor Defense
457,87,white,15+5,1481,1104,Philidor Defense
458,64,black,15+5,1104,1500,Queen's Pawn
459,36,black,15+5,1500,1104,King's Pawn Game
460,57,white,15+5,1336,1104,Queen's Pawn
461,42,black,15+5,1104,1430,Indian Game
462,77,white,15+5,1408,1104,Philidor Defense
463,43,white,15+5,1499,1104,Bishop's Opening
464,81,white,15+5,1412,1104,Italian Game
465,94,black,180+0,1072,1231,Scandinavian Defense: Mieses-Kotroc Variation
466,92,black,15+15,1245,1264,Sicilian Defense
467,78,black,15+15,1251,1177,Sicilian Defense
468,66,black,15+15,1007,1208,Scandinavian Defense: Mieses-Kotroc Variation
469,41,white,15+15,1277,1241,Scandinavian Defense
470,49,white,15+15,1233,1013,French Defense
471,17,white,15+0,1390,1339,Queen's Pawn
472,68,black,10+1,1327,1327,Van't Kruijs Opening
473,52,black,10+0,1327,1490,Four Knights Game: Italian Variation
474,97,white,10+0,1313,1360,Four Knights Game: Italian Variation
475,38,black,10+0,1313,1500,Bishop's Opening
476,84,white,10+0,1291,1313,Sicilian Defense
477,17,white,10+0,1428,1313,Sicilian Defense
478,73,white,10+0,1313,1078,Philidor Defense
479,35,white,10+0,1307,1313,Sicilian Defense
480,30,black,10+0,1313,1500,Sicilian Defense
481,77,white,10+0,1412,1313,Sicilian Defense
482,30,black,9+0,1327,1420,Sicilian Defense
483,36,black,10+10,1337,1382,Sicilian Defense
484,77,white,15+15,1516,1345,Giuoco Piano
485,40,black,10+0,1802,1691,French Defense
486,76,black,10+0,1827,1933,Sicilian Defense
487,55,white,10+0,1723,1859,French Defense
488,67,white,10+0,1853,1675,Italian Game
489,48,black,10+0,1804,1837,French Defense
490,47,white,10+0,1834,1856,French Defense
491,56,black,10+0,1844,1793,Italian Game
492,60,black,10+0,1778,1757,French Defense
493,113,white,5+10,1225,1086,Philidor Defense
494,42,black,10+1,1312,1237,Giuoco Piano
495,53,white,7+3,1197,1190,Caro-Kann Defense
496,60,black,5+5,1176,1658,Queen's Pawn
497,17,black,5+5,1678,1017,Philidor Defense
498,124,white,5+5,2186,1017,Philidor Defense
499,125,white,10+0,1108,1017,Philidor Defense
500,23,draw,10+0,1697,1171,Italian Game
501,117,draw,10+0,1705,1628,Philidor Defense
502,39,white,10+5,1401,1467,English Opening: King's English Variation
503,64,black,45+0,1500,1426,Sicilian Defense
504,27,black,20+0,1549,1426,Sicilian Defense
505,56,black,30+0,1464,1413,Hungarian Opening
506,39,white,20+0,1413,1500,King's Pawn Game
507,48,black,15+15,1259,1184,Queen's Gambit Declined
508,32,black,15+15,1288,1138,Queen's Gambit Declined
509,7,black,10+0,1154,1191,Horwitz Defense
510,23,white,10+0,1217,1176,Sicilian Defense
511,122,black,10+0,1210,1183,King's Pawn Game
512,35,white,15+0,1699,1457,Queen's Pawn
513,75,white,25+0,1500,1545,Queen's Pawn
514,90,black,10+0,1324,1365,Scotch Game
515,29,black,10+0,1340,1366,Van't Kruijs Opening
516,39,draw,10+0,1250,1382,Queen's Pawn
517,94,black,10+0,1388,1238,Italian Game
518,129,white,10+0,1390,1423,Philidor Defense
519,68,black,10+0,1384,1393,Queen's Pawn
520,56,black,10+0,1403,1387,French Defense
521,86,black,10+0,1405,1362,Scandinavian Defense: Mieses-Kotroc Variation
522,107,draw,10+0,1397,1405,Sicilian Defense
523,13,white,10+0,1374,1408,Van't Kruijs Opening
524,63,white,10+0,1306,1429,Queen's Pawn
525,40,black,10+0,1423,1610,Italian Game
526,88,black,10+0,1437,1635,French Defense
527,62,black,10+0,1412,1427,Sicilian Defense
528,110,black,10+0,1261,1397,Queen's Pawn
529,39,white,10+0,1349,1419,Four Knights Game: Italian Variation
530,15,white,10+0,1413,1434,Horwitz Defense
531,86,black,10+0,1343,1406,French Defense
532,41,white,10+0,1596,1711,Bishop's Opening
533,94,black,10+0,1721,1754,Sicilian Defense
534,130,black,10+0,1228,1732,King's Pawn Game
535,33,white,10+0,1685,1609,Caro-Kann Defense
536,84,white,15+15,1472,1218,Queen's Pawn
537,35,white,20+0,1493,1500,Queen's Pawn
538,61,white,12+0,1493,1463,Queen's Pawn
539,78,black,10+0,1482,1744,Queen's Pawn
