turns,winner,increment_code,white_rating,black_rating,opening_name
50,black,15+15,1030,1162,Queen's Pawn Game: Zukertort Variation
61,white,15+15,1184,1184,Scotch Game
12,black,15+15,1034,1149,Queen's Pawn Game: Chigorin Variation
86,draw,15+15,1156,886,Italian Game
27,white,15+15,1142,1226,French Defense: Normal Variation
86,black,15+15,1042,1133,King's Pawn Game: Leonardis Variation
53,white,15+15,1247,1122,King's Pawn Game: Leonardis Variation
50,black,15+15,1070,1112,Van't Kruijs Opening
45,white,15+15,914,1133,Three Knights Opening
60,black,15+15,1133,1234,Giuoco Piano
56,black,15+15,1126,1054,Philidor Defense
115,white,10+0,2100,1960,Indian Game
56,draw,10+0,1982,1960,Scandinavian Defense
62,black,5+5,1627,2050,French Defense: Normal Variation
35,white,11+5,1164,1435,Scandinavian Defense: Mieses-Kotroc Variation
70,black,10+0,1287,1099,Sicilian Defense
75,white,10+0,1211,1230,Sicilian Defense
61,white,10+0,1344,1500,Sicilian Defense
36,black,10+0,1378,1318,French Defense: Knight Variation
53,white,15+15,1721,1643,Queen's Gambit Declined
64,black,10+2,1170,1662,Scandinavian Defense
88,black,5+5,1302,875,King's Pawn Game: Leonardis Variation
38,black,10+0,1983,2313,Horwitz Defense
41,white,10+0,2312,1663,Ruy Lopez: Steinitz Defense
78,black,10+0,1380,2239,Queen's Gambit Declined
31,white,10+5,2104,1344,Philidor Defense
66,black,10+5,1918,2086,Sicilian Defense: Old Sicilian
44,black,10+5,1701,2100,Sicilian Defense: Smith-Morra Gambit #2
27,white,10+5,2091,1704,Scandinavian Defense: Mieses-Kotroc Variation
21,white,180+0,1408,1396,Queen's Gambit Declined
91,white,10+0,1398,1383,Queen's Gambit Declined
50,black,10+0,1394,1512,Queen's Gambit Refused: Marshall Defense
56,black,10+0,1479,1381,Sicilian Defense: Old Sicilian
37,white,10+0,1371,1374,Queen's Gambit Declined
66,black,10+0,1372,1360,Sicilian Defense: Old Sicilian
65,black,30+0,1528,1369,Queen's Pawn Game: Zukertort Variation
43,white,15+15,1392,1500,Sicilian Defense
49,white,15+0,1905,1852,Owen Defense
77,white,10+0,1478,1500,Sicilian Defense
33,white,10+0,1478,1362,Pirc Defense #4
83,white,15+0,1478,1490,Scotch Game
102,black,8+5,1453,1466,Ruy Lopez: Steinitz Defense
29,white,5+5,1466,1592,Scotch Game
91,white,5+8,1466,1582,Philidor Defense #2
59,black,10+0,1479,1454,Scotch Game
41,white,6+5,1566,1493,Ruy Lopez: Steinitz Defense
122,black,10+0,1417,1447,Queen's Pawn Game #2
62,black,10+3,1325,1174,Queen's Pawn Game: Zukertort Variation
65,white,5+8,1322,913,Queen's Pawn Game: Zukertort Variation
23,white,15+0,1224,1332,Sicilian Defense: Smith-Morra Gambit #2
58,black,10+9,1131,1347,Queen's Pawn Game: Chigorin Variation
64,black,10+0,1197,1340,Owen Defense
43,white,10+0,1348,1381,Queen's Pawn Game: Zukertort Variation
29,white,5+5,1352,1408,Queen's Pawn Game: Chigorin Variation
48,black,10+3,2035,1352,Sicilian Defense: Old Sicilian
76,black,5+8,1602,1791,Sicilian Defense: Smith-Morra Gambit #2
68,black,5+8,1415,1788,Sicilian Defense: Smith-Morra Gambit #2
30,black,8+0,1815,1889,Owen Defense
59,white,8+0,1800,1831,Scandinavian Defense: Mieses-Kotroc Variation
76,black,8+0,1830,1809,Scandinavian Defense: Mieses-Kotroc Variation
33,draw,5+5,2465,2384,Queen's Pawn Game: Mason Attack
36,black,8+0,2255,2425,Queen's Pawn Game: Mason Attack
28,black,5+5,2083,2415,Queen's Pawn Game
21,black,5+5,2281,2400,Queen's Pawn Game: Mason Attack
68,black,10+0,1437,1476,Ruy Lopez: Steinitz Defense
59,white,10+0,1672,1701,Sicilian Defense: Smith-Morra Gambit #2
31,black,10+0,1706,1698,Sicilian Defense: Old Sicilian
72,black,10+1,1648,1719,Sicilian Defense: Old Sicilian
66,black,15+15,1648,1710,Queen's Pawn Game: Chigorin Variation
23,white,10+0,1833,1740,Italian Game: Anti-Fried Liver Defense
118,black,10+0,1433,1737,Queen's Pawn Game #2
91,white,15+15,1713,1659,Italian Game: Anti-Fried Liver Defense
56,black,10+0,1605,1698,Van't Kruijs Opening
71,white,10+0,1690,1613,French Defense: Normal Variation
48,black,10+0,1622,1681,Van't Kruijs Opening
84,black,10+0,1707,1699,French Defense: Normal Variation
51,white,10+0,1453,1724,Italian Game: Anti-Fried Liver Defense
77,black,5+8,1854,1730,Scotch Game
54,black,10+0,1705,1719,Ruy Lopez: Steinitz Defense
89,white,10+0,1694,1825,Philidor Defense #3
62,black,10+0,1651,1684,King's Pawn Game: Leonardis Variation
49,white,10+0,1706,1695,Sicilian Defense
67,white,10+0,1683,1717,Philidor Defense #3
73,white,10+0,1707,1693,Queen's Pawn Game
43,white,10+0,1758,1702,Queen's Pawn Game: Chigorin Variation
16,black,10+0,1730,1882,Sicilian Defense: Old Sicilian
52,black,10+0,1680,1789,Owen Defense
78,black,10+0,1711,1760,Owen Defense
103,white,10+0,1710,1618,Van't Kruijs Opening
49,black,15+3,1858,1730,French Defense: Normal Variation
27,white,10+0,1864,1449,Scandinavian Defense: Mieses-Kotroc Variation
42,black,10+5,1704,1824,English Opening: King's English Variation
5,white,10+0,1894,1539,Van't Kruijs Opening
115,draw,5+60,1923,1887,Queen's Pawn Game: Mason Attack
51,white,15+0,2215,2147,Sicilian Defense: Old Sicilian
33,black,10+0,1805,2195,French Defense #2
38,black,10+0,1500,2098,Queen's Pawn Game
27,white,10+0,1904,1544,Philidor Defense
62,black,10+0,1540,1540,Sicilian Defense: Bowdler Attack
123,white,10+0,1534,1467,Scandinavian Defense: Mieses-Kotroc Variation
44,black,10+0,1545,1554,Caro-Kann Defense
20,white,15+15,1432,1559,Sicilian Defense: Bowdler Attack
88,black,10+0,1369,1553,Sicilian Defense: Smith-Morra Gambit #2
96,black,10+0,1553,1542,Sicilian Defense
120,white,10+0,1543,1553,Sicilian Defense: Bowdler Attack
32,white,10+0,813,841,King's Pawn Game: Leonardis Variation
39,white,10+2,1478,859,Scandinavian Defense
27,white,5+10,1186,871,Scandinavian Defense
68,white,45+0,1271,883,Scandinavian Defense
40,black,20+3,901,1339,Sicilian Defense
27,white,45+0,1500,901,Scandinavian Defense
78,black,30+10,922,1120,King's Pawn Game: Wayward Queen Attack
4,black,30+0,1026,1121,Queen's Pawn Game
44,black,8+0,1057,1240,Horwitz Defense
45,black,30+0,1057,1341,French Defense: Normal Variation
15,white,30+0,1331,1083,Sicilian Defense: Smith-Morra Gambit #2
37,white,20+5,1266,1130,Owen Defense
22,black,12+0,1155,1484,Scandinavian Defense: Mieses-Kotroc Variation
58,black,20+0,1222,1351,Queen's Pawn Game
33,white,15+15,1214,1222,Scandinavian Defense
46,white,7+7,1535,1273,French Defense: Normal Variation
36,black,10+10,1500,1409,Queen's Pawn Game
62,black,20+0,1647,1566,Queen's Gambit Declined
35,white,6+6,1500,1647,Three Knights Opening
60,black,30+0,1887,1760,Queen's Pawn Game: Zukertort Variation
58,black,15+0,1297,1230,King's Pawn Game: Leonardis Variation
38,black,10+0,1625,1754,Queen's Pawn Game #2
80,black,10+0,1474,1862,Philidor Defense #3
54,black,10+0,1862,1807,Philidor Defense #3
78,black,10+0,1396,1862,Four Knights Game: Italian Variation
51,white,10+0,1674,1862,Queen's Gambit Refused: Marshall Defense
12,white,10+0,1598,1862,Philidor Defense #3
56,black,10+0,1862,1500,Queen's Pawn
24,black,10+0,1862,1513,Queen's Gambit Declined
45,black,10+0,1862,1500,Scandinavian Defense: Mieses-Kotroc Variation
18,black,10+0,1862,1769,Scotch Game
90,black,10+0,1701,1862,Giuoco Piano
34,black,10+0,1862,1701,Philidor Defense #2
129,white,10+0,1937,2090,French Defense: Exchange Variation
25,white,10+0,1951,1664,French Defense: Exchange Variation
19,black,10+0,1236,1941,Caro-Kann Defense
83,white,180+0,1500,1500,French Defense: Knight Variation
66,white,180+0,1500,1500,Scotch Game
89,white,180+0,1500,1500,French Defense: Knight Variation
129,draw,180+180,1500,1500,Van't Kruijs Opening
27,white,180+180,1500,1500,Owen Defense
76,white,180+180,1500,1500,Owen Defense
63,white,10+0,1803,1737,French Defense: Exchange Variation
64,black,4+6,1670,1692,Three Knights Opening
15,white,5+8,1500,1329,Italian Game
107,white,20+0,1712,1714,Scotch Game
43,white,10+0,1500,1712,Queen's Pawn Game
72,black,6+10,1705,1712,Sicilian Defense: Bowdler Attack
34,black,10+25,1712,1832,Caro-Kann Defense
51,black,3+10,1712,1615,Scandinavian Defense: Mieses-Kotroc Variation
16,black,10+1,1328,1712,Van't Kruijs Opening
27,white,10+0,1726,1589,French Defense: Exchange Variation
30,black,10+0,1577,1534,English Opening: King's English Variation
49,white,10+0,1603,1594,French Defense: Knight Variation
86,black,10+0,1592,1783,English Opening: King's English Variation
96,black,10+0,1516,1593,French Defense #2
114,black,10+0,1475,1585,French Defense: Knight Variation
40,black,10+0,1585,1632,English Opening: King's English Variation
68,black,10+0,1950,1997,Scandinavian Defense
63,white,10+0,1819,2020,Sicilian Defense
150,black,10+0,1651,1657,King's Pawn Game: Wayward Queen Attack
33,white,20+0,1663,1758,Scandinavian Defense: Mieses-Kotroc Variation
161,white,5+5,1779,1794,English Opening: King's English Variation
52,black,10+0,1690,1913,French Defense: Exchange Variation
47,white,10+0,1873,1651,Scandinavian Defense: Mieses-Kotroc Variation
39,white,10+0,1860,1770,Caro-Kann Defense
50,black,10+0,1748,1852,French Defense: Knight Variation
19,black,10+0,1365,1850,French Defense: Knight Variation
52,black,10+0,1560,1892,Sicilian Defense: Bowdler Attack
132,black,10+0,1901,1993,Philidor Defense
78,black,10+0,1750,1885,Queen's Pawn Game: Chigorin Variation
45,white,10+0,1882,1602,Ruy Lopez: Steinitz Defense
66,black,20+5,1712,1875,Philidor Defense #3
121,white,10+0,1881,1828,French Defense: Normal Variation
75,white,10+0,1868,1824,French Defense: Normal Variation
89,white,10+0,1894,1506,Philidor Defense #3
36,black,15+20,1750,1741,Giuoco Piano
55,white,5+7,1686,1681,Italian Game: Anti-Fried Liver Defense
118,black,6+8,1713,1637,Queen's Pawn Game: Mason Attack
55,white,10+15,1791,1716,Queen's Pawn Game: Chigorin Variation
78,black,20+0,1804,1931,Sicilian Defense: Bowdler Attack
68,black,15+5,1701,1500,Three Knights Opening
29,white,15+5,1148,1057,Queen's Pawn Game: Mason Attack
59,white,10+0,1625,1384,Giuoco Piano
9,white,10+15,1805,1384,Philidor Defense #3
80,black,3+8,1500,1644,Van't Kruijs Opening
81,black,30+5,1687,1771,Queen's Pawn Game: Mason Attack
103,white,30+5,1678,1595,Queen's Pawn
10,black,20+0,2313,2168,Owen Defense
32,black,20+0,1855,2313,Giuoco Piano
50,black,10+0,2344,2215,Giuoco Piano
57,white,10+0,1432,1916,Philidor Defense #3
21,white,20+8,1870,1479,Ruy Lopez: Steinitz Defense
48,black,10+10,1859,1479,Ruy Lopez: Steinitz Defense
68,black,6+9,1299,1513,Hungarian Opening
40,black,8+5,1501,1513,Italian Game: Anti-Fried Liver Defense
9,black,8+5,1513,1501,Queen's Gambit Refused: Marshall Defense
36,black,180+0,1126,1513,King's Pawn Game: Wayward Queen Attack
132,black,8+5,1510,1461,Scandinavian Defense: Mieses-Kotroc Variation
48,black,20+0,1534,1581,Queen's Gambit Declined
75,black,20+0,1602,1502,Van't Kruijs Opening
59,white,15+0,1627,1496,Philidor Defense #2
77,white,5+5,1740,1500,Caro-Kann Defense
104,draw,14+8,1638,1417,Queen's Pawn Game
99,white,10+0,1885,1607,Owen Defense
62,black,6+4,1707,1734,Van't Kruijs Opening
57,white,10+0,1185,1222,Van't Kruijs Opening
100,black,10+0,1277,1173,French Defense: Normal Variation
44,black,10+0,1136,1301,Queen's Pawn Game #2
87,white,10+0,1291,1262,Philidor Defense #2
75,white,10+0,1278,1173,French Defense: Normal Variation
52,black,10+0,1175,1270,Queen's Pawn Game: Chigorin Variation
40,black,10+0,1173,1262,King's Pawn Game: Wayward Queen Attack
73,white,10+0,1329,1271,Scotch Game
52,black,10+0,1235,1272,Van't Kruijs Opening
104,black,10+0,1239,1269,King's Pawn Game: Wayward Queen Attack
55,white,10+0,1152,1284,Queen's Gambit Declined
72,black,10+0,1268,1392,Ruy Lopez: Steinitz Defense
84,black,5+5,1342,1248,Queen's Pawn Game: Chigorin Variation
19,black,10+0,1257,1380,Philidor Defense #2
137,white,10+0,1501,1199,Italian Game: Anti-Fried Liver Defense
53,white,10+0,1597,1501,Queen's Gambit Accepted: Old Variation
65,white,10+0,1501,1619,Ruy Lopez: Steinitz Defense
8,black,10+0,1567,1501,Giuoco Piano
55,white,10+0,1585,1501,Ruy Lopez: Steinitz Defense
73,white,10+0,1514,1501,Queen's Pawn Game: Mason Attack
27,black,10+0,1501,1500,Philidor Defense #3
50,black,10+0,1501,1511,Philidor Defense #3
130,draw,10+0,1501,1760,French Defense: Knight Variation
51,white,10+0,1694,1501,Queen's Pawn Game: Mason Attack
24,black,10+0,1501,1503,Pirc Defense #4
94,black,10+0,1694,1501,Queen's Pawn Game: Mason Attack
57,white,10+0,1500,1501,Hungarian Opening
47,white,10+0,1787,1501,Scotch Game
27,white,10+0,1501,1501,Bishop's Opening
50,black,10+0,1501,1626,Sicilian Defense: Old Sicilian
20,black,10+0,1501,1759,French Defense: Knight Variation
85,white,10+0,1500,1501,Four Knights Game: Italian Variation
87,white,10+0,1501,1500,Philidor Defense #2
45,white,10+0,1501,1513,Three Knights Opening
38,black,10+0,1500,1501,Giuoco Piano
39,white,10+0,1585,1501,Queen's Gambit Accepted: Old Variation
90,black,10+0,1501,1500,Philidor Defense #3
37,white,15+15,1104,1343,English Opening: King's English Variation
6,white,15+15,1104,1228,English Opening: King's English Variation
94,black,15+15,1104,1419,Modern Defense
29,white,15+15,1104,1069,English Opening: King's English Variation
58,black,15+15,1104,1290,Queen's Pawn Game
44,black,15+15,1273,1104,Italian Game
35,white,15+5,1500,1104,Philidor Defense
87,white,15+5,1481,1104,Philidor Defense
64,black,15+5,1104,1500,Queen's Pawn Game: Zukertort Variation
36,black,15+5,1500,1104,King's Pawn Game: Leonardis Variation
57,white,15+5,1336,1104,Queen's Pawn Game
42,black,15+5,1104,1430,Indian Game
77,white,15+5,1408,1104,Philidor Defense #3
43,white,15+5,1499,1104,Bishop's Opening
81,white,15+5,1412,1104,Italian Game
94,black,180+0,1072,1231,Scandinavian Defense: Mieses-Kotroc Variation
92,black,15+15,1245,1264,Sicilian Defense: Smith-Morra Gambit #2
78,black,15+15,1251,1177,Sicilian Defense: Smith-Morra Gambit #2
66,black,15+15,1007,1208,Scandinavian Defense: Mieses-Kotroc Variation
41,white,15+15,1277,1241,Scandinavian Defense
49,white,15+15,1233,1013,French Defense: Normal Variation
17,white,15+0,1390,1339,Queen's Pawn Game #2
68,black,10+1,1327,1327,Van't Kruijs Opening
52,black,10+0,1327,1490,Four Knights Game: Italian Variation
97,white,10+0,1313,1360,Four Knights Game: Italian Variation
38,black,10+0,1313,1500,Bishop's Opening
84,white,10+0,1291,1313,Sicilian Defense: Old Sicilian
17,white,10+0,1428,1313,Sicilian Defense: Old Sicilian
73,white,10+0,1313,1078,Philidor Defense #2
35,white,10+0,1307,1313,Sicilian Defense: Old Sicilian
30,black,10+0,1313,1500,Sicilian Defense
77,white,10+0,1412,1313,Sicilian Defense: Old Sicilian
30,black,9+0,1327,1420,Sicilian Defense: Bowdler Attack
36,black,10+10,1337,1382,Sicilian Defense
77,white,15+15,1516,1345,Giuoco Piano
40,black,10+0,1802,1691,French Defense: Knight Variation
76,black,10+0,1827,1933,Sicilian Defense: Bowdler Attack
55,white,10+0,1723,1859,French Defense #2
67,white,10+0,1853,1675,Italian Game: Anti-Fried Liver Defense
48,black,10+0,1804,1837,French Defense: Knight Variation
47,white,10+0,1834,1856,French Defense: Knight Variation
56,black,10+0,1844,1793,Italian Game: Anti-Fried Liver Defense
60,black,10+0,1778,1757,French Defense: Knight Variation
113,white,5+10,1225,1086,Philidor Defense #2
42,black,10+1,1312,1237,Giuoco Piano
53,white,7+3,1197,1190,Caro-Kann Defense
60,black,5+5,1176,1658,Queen's Pawn Game: Chigorin Variation
17,black,5+5,1678,1017,Philidor Defense #3
124,white,5+5,2186,1017,Philidor Defense
125,white,10+0,1108,1017,Philidor Defense
23,draw,10+0,1697,1171,Italian Game
117,draw,10+0,1705,1628,Philidor Defense #3
39,white,10+5,1401,1467,English Opening: King's English Variation
64,black,45+0,1500,1426,Sicilian Defense: Bowdler Attack
27,black,20+0,1549,1426,Sicilian Defense
56,black,30+0,1464,1413,Hungarian Opening
39,white,20+0,1413,1500,King's Pawn Game: Leonardis Variation
48,black,15+15,1259,1184,Queen's Gambit Declined
